"Status","Timestamp","Event Name","Column 4","Event Date(s)","Venue Name","Address","Event Start Time","Event End Time","Complicated dates/times?","Target Audience","Short Event Description","Long event description","The hook!","Price","Registration","Event link","Primary type of event","Additional type of event","Address Link","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","King of the Game","2026-06-13","Saturday June 13","Red Bull Gaming Hub at Toronto Metropolitan University","Rogers Communication Centre (RCC 229), 80 Gould Street","16:00:00","20:00:00","","","Indie gamemakers are invited to bring their own game to this  high-energy elimination tournament across genres. Unlike traditional tournaments focused on a single title, King of the Game challenges participants across a variety of game genres, testing adaptability, skill, strategy, and quick thinking in every round.","","","$4+","Info and Tickets here.","https://www.eventbrite.ca/e/king-of-the-game-tickets-1991020574134","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Rabbit.Hole.exe","2026-06-13","Saturday June 13","Allan Gardens Children's Conservatory","160 Gerrard St. E.","16:00:00","21:00:00","16:00 - 21:00 CST (UTC+8)","gamers, artists, creatives, curious visitors","Jump into the rabbit hole and discover games from a city on the other side of the planet! Part game portal, part digital playground, and part reflection of a city you call home. Rabbit.Hole.Exe brings together works from two cities — Toronto and Shenzhen —  through a curated website featuring indie games, interactive objects, old websites, and hidden encounters inspired by early internet worlds and game culture. Access the portal from our pop-up spots in both cities, or log in from anywhere with an internet connection…if you have the key.","Part game portal, part digital playground, and part reflection of a city you call home. 

The project brings together works from two cities -Toronto and Shenzhen - through a curated website featuring indie games, interactive objects, old websites, and hidden encounters inspired by early internet worlds and game culture.




","The other rabbits are gone， jump into the hole to find your way home.","Free, just show up!","","rabbitholeexe.com","Showcase","Exhibition","Allan Gardens Children's Conservatory","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Custom Controller Design & Build Workshop","2026-06-13","Saturday June 13","U of T Bahen Centre","40 St. George St.","16:30:00","19:00:00","","","A hands-on design workshop: Learn how to design, program, and manufacture custom game controllers, and build a customized controller. During the workshop, you will learn how to design a custom game controller using open-source software, and take home a custom Toronto Games Week Badge that doubles as a USB game controller. Part of the <a href=""https://dmgregory.ca/tgw/"">“Play Outside the Box”</a> event series.","","","$28","Info and Tickets here.","https://www.eventbrite.ca/e/custom-controller-design-build-workshop-play-outside-the-box-2026-tickets-1989350172919?aff=oddtdtcreator","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-22 17:25:24","Night Parkcade","2026-06-13","Saturday June 13","~SECRET LOCATION~","","20:00:00","23:00:00","","Community, Game Enthusiasts, Game Curious","Our legendary pop up arcade at a park after dark! Enjoy swordplay and games under the night sky! Become part of a new co-op project by the developer of the shouty Spaceteam. Feeling brave? Playtest your life! To get the clues to the secret location the day of, subscribe to our email newsletter...","","","Free, just show up!","Clues to the location","https://eocampaign1.com/web-version?p=ad3ac4ac-66a2-11f1-9989-87be81b413b1&pt=campaign&t=1781301412&s=8540c48818173d0f7169736c65d711425c4bedfd31912b2fcbee713a915e790c","Showcase","Social","","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-03-25 23:21:55","Rat Race: Soccer Fever Edition ","2026-06-14","Sunday June 14","Union Station","65 Front Street W. (inside by the clock tower)","10:00:00","17:00:00","","Community, Game Enthusiasts, Game Curious","Navigate Toronto’s legendary underground network as fast as you can — solving clues and collecting bonus points as you go. If you thought last year's challenge was tough, wait until you see what we have in store for you this year. With the world's most popular sport coming to town, we are adding a little footie action this year. Gooooooal!!!!!!!","","Navigate your way through the P.A.T.H. and complete soccer related missions in the fastest time possible and be crowned Rat Race champion!!","PWYC","Registration required.","https://www.eventbrite.ca/e/rat-race-world-cup-edition-tickets-1984174054008?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=wsa&aff=ebdsshwebmobile","Game","","65 Front Street West","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-10 15:01:50","[cancelled due to weather] Globle: Live","2026-06-14","Sunday June 14","High Park","1873 Bloor St. W., South of the North Gates","10:00:00","16:00:00","People can arrive any time in the window","Community, Game Enthusiasts, Game Curious, Game players!","[event cancelled] High Park has been transformed into planet Earth! Grab a teammate, open the web app on your phone, and race to find every country playing in this year's biggest international soccer tournament. Follow the rotating 3D globe, stamp your passport, and win prizes based on how many countries you collect. Smartphone required.","For one day during Toronto Games Week, High Park becomes a walkable globe. Every country playing in this year's biggest international soccer tournament is hidden somewhere inside it, and your job is to find them all.
Open our web app, gather your team, and start walking. You'll see a rotating 3D globe with a marker hovering above it — that's you. As you move through the park, the globe turns beneath you. When you think you're standing on a qualifying country, tap ""visit."" Get it right and it's stamped into your in-app passport. The more you collect, the better the prize tier you unlock.
Teams of 2 or more, please. All ages welcome, kids with an adult. Wear comfortable shoes.","This summer, the online geography sensation Globle comes to live in High Park!","Free!","More info here.","https://globle.live","Game","","1873 Bloor St W","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 15:27:29","The Beautiful Game: A Playable History of Soccer Video Games","2026-06-14","Sunday June 14","Royal Ontario Museum","100 Queen's Park","11:00:00","16:00:00","Thursday, June 11: 11am-4pm
Friday, June 12: 11am-4pm
Saturday, June 13: 11am-4pm
Sunday, June 14: 11am-4pm
MONDAY – ROM CLOSED
Tuesday, June 16: 11am-8pm (free general admission starting at 4pm)
Wednesday, June 17: 11am-4pm

","Community","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen, from early home console experiments to influential titles that helped define modern sports gaming. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.

Beginning with early interpretations on platforms such as the Atari 2600, where soccer was represented through simple graphics and fast reflexes, the exhibition follows the sport’s digital evolution through home consoles like the Nintendo Entertainment System and into the rise of landmark franchises such as FIFA International Soccer. Displayed side by side, these games reveal how advances in technology reshaped ideas of realism, competition, and spectacle across generations.

This exhibit is a collaboration between the Royal Ontario Museum, the University of Toronto Mississauga Library with its extensive Syd Bolton Collection of video games, and the Broken Games Collective, a community of practice that champions restoring access to games that are broken, obsolete, or inaccessible. Together, they bring historical hardware, software, and curatorial expertise into a shared space that recognizes retro video games as cultural artifacts, preserving how generations of players have engaged with soccer beyond the stadium and onto the screen.
","Global soccer comes to Toronto. Play the video games that brought the beautiful game home. ","Included with ROM ticket entry.","Tickets required.","https://tickets.rom.on.ca/en/shop","Showcase","","100 Queen's Park","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Hand Eye Society x Luminato at Harbourfront","2026-06-14","Sunday June 14","Harbourfront","235 Queens Quay W.","11:00:00","22:00:00","","","Hand Eye Society brings Torontron arcade cabinets to Luminato at Harbourfront, featuring indie games by local developers and game artists. Blending arcade play with local game art, the installation offers festival-goers a fun and accessible way to experience video games as art.","","A fun, public celebration of local indie games where you can interact with Hand Eye Society's custom arcade cabinets, meet devs and artists, and take part in an immersive workshop and exhibition.","Free, just show up!","","","Showcase","","235 Queens Quay West","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-17 11:55:04","[cancelled due to weather] Flowr Choir","2026-06-14","Sunday June 14","Grange Park","Beverley St & McCaul Street","11:00:00","12:00:00","n/a","Academics, Community, Industry, Game Enthusiasts, NextGen Creators, ESports, Game Curious, Game Creators","What if a whole room could heal together? Flowr Choir brings families, kids, and curious humans of all ages into a shared somatic experience — phones in hand, voices raised, growing a living digital garden through breath and sound. It’s part concert, part science, part magic.","Your voice is alive!

FLOWR Choir is a drop-in, participatory live event where families, kids, and curious humans of all ages come together to grow a shared digital garden — using nothing but their voices, breath, and presence. Powered by FLOWR’s proprietary Sounding Core technology, participants’ vocal features are analyzed in real time, on-device, translating the acoustic qualities of breath and sound into a living, blooming visual world on screen.

This is not a passive demo. It’s a collective act of creation.

How It Works
Participants are onboarded onto FLOWR — loaded onto iPhones or provided devices — and guided into a simple, intuitive experience: hum, exhale, tone, sing. The game responds. Flowers grow. The garden changes. When many voices sound together, something larger emerges — a shared ecosystem that no single participant could have built alone. The experience is designed to be immediately accessible to a six-year-old and genuinely moving for an adult.
Underneath the magic is science. FLOWR’s Sounding Core uses an on-device GRU-CNN architecture to analyze vocal biomarkers associated with autonomic nervous system regulation. Toning and intentional vocalization are established mechanisms for stimulating the vagus nerve — the body’s primary parasympathetic pathway. FLOWR Choir is, quietly, a public health intervention dressed as a game.","It’s a game where your voice grows flowers — and it’s physiologically calming your nervous system while you play.","Free, just show up!","More info here.","thegatagames.com","Workshop","","MJ25+W2 Toronto, Ontario","","","","","","","","","","","","","","","","","","","","","","","",""
"cancelled","","Arrietty's Scavenger Hunt","2026-06-14","Sunday June 14","Grange Park","Beverley St & McCaul Street","12:00:00","16:00:00","Saturday 12PM-8PM
Sunday 11AM-8PM","Community, Game Enthusiasts, Game Curious","Embark on an outdoor scavenger hunt themed around one of Studio Ghibli's lesser known films, ""The Secret World of Arrietty""! Participants will receive a clue letter written by Arrietty that hints at the location of important items that she needs help retrieving before the malicious housekeeper, Hara, finds them. A prize is given upon completion.","","","$5","Ticket required.","https://luma.com/lt6z189z","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-10 12:45:22","Out of Bounds Torontrois","2026-06-14","Sunday June 14","TacoTaco","319 Augusta Ave.","12:00:00","23:59:00","Sunday June 14th 12pm-12am (doors open at 11:30am)
Monday June 15th 12pm-12am (doors open at 11:30am)","Community, Game Enthusiasts, ESports, Game Curious","Lady Arcaders: Out of Bounds Torontrois is an in-person women & femme speedrunning event! Folks will play games as quickly as possible, showing off their talents and challenging themselves. The event will also be broadcast online to our Twitch channel. Everyone’s welcome to join the fun!","","","PWYC","No registration required, more info here","https://ldy.gg/oob3","Performance","","319 Augusta Ave","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-13 13:26:05","Art Of The Concept","2026-06-14","Sunday June 14","George Brown College","3 Lower Jarvis St., North Gallery ","12:00:00","18:00:00","","Community, Industry, Game Enthusiasts, Game Curious, Game Creators, Art and illustration community","Collecting amazing artwork from several of Toronto’s beloved indie game studios, this concept art showcase celebrates the creative process of bringing games to life featuring a series of poster collages collecting artwork from notable local studios like BancyCo, Cococucumber, Numizmatic, Soft Rains, Alientrap, Kitten Cup, Hilltop Studios, Mighty Yell, and Capybara. At 3pm, showcase curator Gavin McCarthy will be hosting a Q&A with some of the artists in attendance. (Artwork will be on display from June 11- 17.)","The Art Of The Concept is a gallery show presenting multiple poster collages of concept art from some amazing Toronto made games from some of the cities beloved studios. Think of it as an art book in poster form. The studios may organize the work within the poster however they would like to tell the story of the visual journey, or just have a mash-up of their favourite sketches and paintings arranged within the poster. Some key art elements are welcome, however, this is mostly focused on helping the audience see the creative process and the journey a game undergoes from a visual art standpoint.

The artwork will be on display at George Brown’s waterfront campus in the North Gallery for the duration of Toronto Games Week (June 11th to 17th) with a reception held on Sunday June 14th from 12pm until 6pm. Light refreshments will be on hand and this will be an all ages event. The gallery space features a 56 foot curved wall where the work will hang, as well as a second wall across from the main artwork that will feature a few screens. I am hoping to have some trailers and demos available as well as some music from the games in the background.

Participating studios will be paying a $100 hanging fee to cover printing and framing for the main posters and they may also be able to submit additional frames work at no additional cost pending wall space.

Current Studio participating are BancyCo, Cococucumber, Numizmatic, Soft Rains, Alientrap, Kitten Cup, Hilltop Studios, and Mighty Yell

This will be a fun celebration of the creative process and the artistic journey these games make and a chance for fans to see a part of the production process that is seldom seen with smaller indie studios.","A gallery show of concept art books in poster form for Toronto indie games.","Free, just show up!","More info here","https://bsky.app/profile/artoftheconcept.bsky.social","Showcase","Social","3 Lower Jarvis St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-05 19:33:42","[cancelled due to rain] Toronto Tamagotchi Picnic","2026-06-14","Sunday June 14","Grange Park","Beverley St & McCaul Street","12:00:00","15:00:00","","Community, Game Enthusiasts, Game Curious","[cancelled] Touch grass with us! Join the Toronto Tamagotchi Club for an outdoor meetup. Meet Tamagotchi-themed vendors, enjoy outdoor activities, and connect with other Tamagotchi enthusiasts. We welcome the Tamagotchi-curious. Bring your own picnic blanket!","","A picnic for Tamagotchi collectors and friends.","Free, just show up!","More info here","https://torontotamagotchiclub.neocities.org","Social","","Grange Park","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-09 17:22:03","Pokémon Proxy Party","2026-06-14","Sunday June 14","Mad Merchant Cards and Games","Splendid China Mall - 4675 Steeles Ave E Unit 1D20, 1D22, & 1D25","12:00:00","18:00:00","We will be having multiple six different 2 hour sessions:

Sat June 13th @ 12pm - 2pm
Sat June 13 @ 2pm - 4pm 
Sat June 13 @ 4pm - 6pm 
Sun June 14 @ 12pm - 2pm 
Sun June 14 @ 2pm - 4pm
Sun June 14 @ 2pm - 6pm
","Community, Industry, Game Enthusiasts, NextGen Creators","A laid-back art anthology for Pokémon fans and creators. In just two hours, you’ll contribute to a massive, community-built collection of the original 151 custom proxy designs. No pressure to be perfect.","","Could be a cute date idea or a hang-out with friends","$20, includes a drink, art supplies, and a custom card","Tickets required.","https://www.eventbrite.com/e/pokemon-proxy-party-tickets-1989100554303?aff=oddtdtcreator","Workshop","","4675 Steeles Ave E","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-11 14:04:35","Dream Game Inc.","2026-06-14","Sunday June 14","Hideaway Studios","1586 Dupont St","13:00:00","20:00:00","","Community, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","Back for our second year, join us at Hideaway Studios for a collaborative art hangout where you make the art, and we make the game a reality! We’ll have art supplies on hand for you to draw and colour game assets, and our team will program everyone’s art together into a playable game prototype. Drop in anytime, we’ll refresh the game with new art every hour!","","A playful, family friendly event where participants doodle and draw video game art that then gets scanned and put into a playable game prototype.","Free/Pay-What-You-Want","No registration required, more info here.","https://dreamgame.ca/","Workshop","","1586 Dupont St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-04 16:43:40","Learn to Code with Team Hero Coder","2026-06-14","Sunday June 14","George Brown College","3 Lower Jarvis St., WFD 203","13:00:00","18:00:00","","Academics, Game Creators, Gamers looking to learn how to code, educators looking to pick up a teaching tool","Are you a coding curious gamer? Learn as you play in a one-hour workshop where you code AI solutions for a team of heroes battling in a classic, RPG inspired, battle system. PseudoC, drop-down-menu scripting, provides a comfortable starting point. A tight metagame and the option to use C# and VS Code will scratch your esport/meta gamer itch.","","If you are a gamer, you've already done a ton of work putting together algorithms in your head while you are playing. If low health, use big heal. If low on mana use an ether. If you have a powerful wizard in your team, buff their magic stat. The list goes on and with Team Hero Coder you get to use pseudoC (in-game, menu driven, scripting) or real code to write the algorithms you've already been putting together in your head while playing.

Team Hero Coder is the game that let's gamers do what they do best, play, but with code.","Free!","Registration requested","https://forms.gle/qZrJA37p9CDofhbw6","Workshop","","3 Lower Jarvis St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-27 12:27:13","Rocket League Cup 2026","2026-06-14","Sunday June 14","Red Bull Gaming Hub at Toronto Metropolitan University","Rogers Communication Centre (RCC 229), 80 Gould Street","15:00:00","20:00:00","","Community, Game Enthusiasts, ESports","Join us for a rocket-fueled tournament with everyone's favourite vehicular soccer game!  While the city has its eyes on the ball, here's a soccer game you could actually win! Beginners welcome. Sign up and be added to one of our 15 randomly selected teams and get a chance to win some fun soccer-themed prizes.","","Esports event for you and your friends with amazing prizes. ","$20","Tickets required.","https://www.eventbrite.com/e/toronto-game-week-presents-rocket-league-cup-2026-tickets-1989230311410?aff=oddtdtcreator","Game","","80 Gould Street","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-11 20:50:00","Live Video Game Orchestra","2026-06-14","Sunday June 14","Hugh's Room Live"," 296 Broadview Ave.","20:30:00","22:30:00","First event will open at 5pm, if that sells out then we'll have a late show at 8pm","Game Enthusiasts, Musicians, video game music fans","The Live Video Game Orchestra is a professional 12 piece jazz orchestra focused around performing novel arrangements of video game music, from classics like Pokemon & Zelda, to modern games like Undertale and Hollow Knight. Witness some of Toronto's top musicians interpreting game themes we all know and love with a modern twist.","","12-Piece Jazz Orchestra Performs Video Game Music Live","$35","Tickets required. ","https://www.eventbrite.ca/e/the-music-of-indie-games-live-video-game-orchestra-late-show-tickets-1990450781870","Performance","","Hugh's Room Live","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Official Dead By Daylight 10 Year Anniversary Toronto Watch Party","2026-06-14","Sunday June 14","Twist Gallery","1100 Queen St. W.","17:30:00","21:30:00","","","Celebrating 10 years of Dead by Daylight, Twitch Community MeetUps are bringing fans together in person across 10 global city creator-led watch parties and pre-events, Powered by Twitch and Conjured by Dead by Daylight, to experience the anniversary broadcast, connect with fellow Survivors and Killers, and celebrate a decade in The Fog.","","","Free!","Registration required.","https://meetups.twitch.tv/events/details/twitch-toronto-presents-official-dead-by-daylight-10-year-anniversary-toronto-watch-party-community-meetup-powered-by-twitch/","","","1100 Queen St W","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-21 10:20:48","5ifth Gen Func","2026-06-14","Sunday June 14","See-Scape","347 Keele St.","20:00:00","02:00:00","","Game Enthusiasts, Music Fans, Ravers, Junglists","N64, PS1, and a Sega all the way from Saturn. This function will function as a space to wiggle and play a set of songs and hot-cued save states from the consoles that introduced the freedom of fully formed audio files in games. Expect jungley breakbeats, acidic house, industrial techno and groovy cyberdelic func! Half the door to Food Not Bombs! NOTAFLOF!","","A DJ night using emulator save states of 5th gen games (PS1, N64, Saturn) that people can play and party along with.","PWYC at the door.","More info here.","https://shader.sight.systems","Performance","","347 Keele St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-10 12:45:22","Out of Bounds Torontrois","2026-06-15","Monday June 15","TacoTaco","319 Augusta Ave.","12:00:00","23:59:00","Sunday June 14th 12pm-12am (doors open at 11:30am)
Monday June 15th 12pm-12am (doors open at 11:30am)","Community, Game Enthusiasts, ESports, Game Curious","Lady Arcaders: Out of Bounds Torontrois is an in-person women & femme speedrunning event! Folks will play games as quickly as possible, showing off their talents and challenging themselves. The event will also be broadcast online to our Twitch channel. Everyone’s welcome to join the fun!","","","PWYC.","No Registration required., more info here.","https://ldy.gg/oob3","Performance","","319 Augusta Ave","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-15 15:58:06","An Afternoon With Sago Mini","2026-06-15","Monday June 15","Sago Mini Studio","171 John St., Floor 5","14:00:00","18:00:00","","Academics, Community, Industry, Game Enthusiasts, Game Curious, Game Creators","Get an exclusive, behind-the-scenes look at the Sago Mini studio during Toronto Games Week! Join this in-person event to learn about the art, tech and playful creative process behind designing Sago Mini’s first 3D single-player adventure game, Jinja’s Garden.","We're thrilled to invite you, yes YOU, to an exclusive afternoon at the Sago Mini studio on Monday, June 15th, 2026, as part of Toronto Games Week! We love connecting with people from the local game community, and we're opening our doors to share our knowledge, innovation, and show off the incredible talent of the Sago Mini team.

You might know that we released our very first 3D single-player adventure game on Apple Arcade earlier this year—it’s the super-fun Jinja’s Garden! Come join us as we dive deeper into what makes this game tick and how the team brought it to life, with:

- A talk with Art Director, Rebecca Tell, exploring the game's beautiful visuals.
- Ben Stirling will share how we approach designing games for the youngest players.
- Get a peek into the technical side with Ryan Miller—showing how we manage scaling Jinja’s Garden across a decade of hardware.

After the talks, we’re assembling some of the creative brains behind Jinja’s Garden for a Panel Discussion, moderated by our in-house animation genius, Yuliya Boublikova. You won’t want to miss hearing from these awesome folks:

- Tobias Bauer, Production Manager
- Nehir Dogan, 3D Artist
- Richard Hilmer, Lead Unity Developer
- Nik Aggarwal, Senior Game Developer
- Bryan Winters, Senior Game Developer
- David Czarnowski, Play Designer & Technical Artist

Winding down the afternoon? Don't rush off! Stick around for an optional, casual Social Hour on our studio rooftop (fingers crossed for good weather!). 

This is absolutely the event for you if you're a playful thinker, maker, and doer in the kids design, tech, and games space who wants to know more about what we do at Sago Mini. Just a heads up: this is a free, in-person event, but our studio space is limited, so make sure you register and bring your ticket to show us when you arrive!

-----

The need-to-know details:
Date: Monday June 15, 2026
Time: 2:00pm - 6:00pm 
Location: Sago Mini Studio in downtown Toronto
Event Type: in-person, free, tickets are limited & registration required
","Get an exclusive, behind-the-scenes look at the Sago Mini studio during Toronto Games Week! Join this event to learn about the art, tech and playful creative process behind designing Sago Mini’s first 3D single-player adventure game, Jinja’s Garden.","Free/Pay-What-You-Want..","Registration required.","https://luma.com/faoflx6e","Talk","","171 John St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 20:46:33","DEI or DIE v2: DEI Harder","2026-06-15","Monday June 15","Toronto Metropolitan University","341 Yonge St, The Sky - 8th floor","18:00:00","22:30:00","","Academics, Community, Industry, Game Enthusiasts, NextGen Creators, Game Creators, Marginalized Game Developers","DEI or DIE is a platform which invites local Queer and Marginalized game developers to show off their latest projects, give micro talks and more on the subject of DEI. Join us for a post-show reception: a few hours dedicated to discussing, connecting, and playing games, alongside demo stations featuring our presenters' work.","With further attacks on the rights of marginalized people comes an increased need for resistance. Continuing with our mission to give diverse game developers a space to share their work and build community, we are delighted to return for a second year!

DEI (Diversity, Equality, and Inclusion) efforts are still being targeted by right-wing governments in the US, Canada, and around the world. With an increased pressure on Trans people in particular and a continuing layoff crisis in the games industry has led many to consider quitting the business altogether.

The games industry is famously toxic and can be an extremely difficult place for developers from marginalized backgrounds to thrive. How can we challenge the narrative around DEI and push back against attacks on diversity in our industry? Our event will help participants understand the unique challenges marginalized people face - and that our choices often feel like ""DEI or DIE"".","Fight Fascism by coming to a variety showcase of local gamedev talent from marginalized backgrounds.","Free.","No registration required, more info here.","https://luma.com/hvj6wvel","Talk","","341 Yonge St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-10 16:03:20","Drawing from Within: Create Your Own Personal Oracle Cards","2026-06-15","Monday June 15","Caversham Booksellers","262b Geary Ave.","18:30:00","20:30:00","","Academics, Community, Game Enthusiasts","Explore your intuition through creative play! In this interactive workshop, you’ll craft a personalized oracle card using imagery and symbols that resonate with you. Then, enjoy a group reading where participants share and interpret each card’s story. All materials provided. All levels welcome.","This interactive workshop invites participants into the creative, playful, and reflective process of designing their own personalized oracle cards. Blending art-making with intuitive exploration and gentle art therapy practices, the session will create a welcoming space to reconnect with inner wisdom while engaging in a shared creative experience.

The workshop will begin with a brief, accessible introduction to symbolism in oracle and tarot traditions, including a light exploration of archetypes and the Major Arcana as representations of universal human experiences. Participants will be encouraged to reflect on how these symbolic frameworks mirror patterns, emotions, and parts within their own lives. This grounding offers a starting point for understanding how imagery and metaphor can act as powerful tools for self-reflection.

Participants will then be guided into creating their own cards using personally meaningful symbols, imagery, and themes. Through prompts, attendees will explore their inner landscape and translate their insights into visual form. The emphasis is on developing a personal symbolic language that feels authentic and resonant.

No prior experience with tarot, oracle cards, art, or parts work is required. All levels of familiarity are not only welcomed but valued, as the practice prioritizes process over final product, and curiosity and play over perfection. 

All art materials will be provided. Optional sharing throughout will support connection among attendees, fostering a sense of community in a relaxed, non-judgemental and supportive atmosphere.

The workshop will conclude with a collaborative group reading using the newly created deck. Participants will be invited to collectively draw and interpret cards, reflecting on how the imagery resonates with their own experiences. Each person will also have the opportunity to share the meaning behind their own card, offering insight into their chosen symbolism and the personal narratives or parts it represents. This closing practice will deepen both individual reflection and group connection, highlighting the richness of diverse perspectives and intuitive interpretation.

Led by: Athanasia Pallas, a Toronto based artist and writer, whose work draws on psychology, the esoteric and self-exploration. She is currently crafting an oracle deck to guide healing, inner parts work, and intuitive connection.

Co-hosted by: Droqen (Alexander Clair Tseu Martin), a lost game designer and abstract pixel artist, recently pursuing an interest in art therapy. Creator and reader of ‘Droqen’s Tarot’, a personal pixel art tarot deck inspired by game design.","Explore your intuition through creative play by crafting a personalized oracle card and sharing its story in a lively, supportive group reading—no experience needed, all materials provided.","$12","FULL, waitlist available here.","https://luma.com/nsvinkbt","Workshop","","262 B Geary Ave","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-11 21:33:24","Video Game Disco Trivia Night!","2026-06-15","Monday June 15","The Black Pony","1481 Gerrard St. E.","18:30:00","22:30:00","","Community, Game Enthusiasts, Game Curious","Do you know video games? Do you like trivia? Do you enjoy RPGs? Do you LOVE disco? If you answered yes to any of these questions, this an event for you. Gather your party of adventurers. Slay monsters by answering video game trivia. Consume the refreshments provided by the hosts. Win prizes! Dance to disco! ","","Come check out this event, you probably won't die.","Free!","Registration required.","https://www.eventbrite.com/e/video-game-trivia-rpg-disco-pub-night-toronto-games-week-tickets-1989700823725?aff=oddtdtcreator","Game","","1481 Gerrard St E","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-08 11:45:01","NextGen Showcase","2026-06-15","Monday June 15","CSI Spadina","192 Spadina Ave.","19:00:00","21:00:00","","Community, Industry, NextGen Creators, Game Curious","A curated showcase, selected by international curator Jenny Windom, highlighting games by emerging creators from Toronto’s game development and game education scene. Snacks provided. Supported by Unreal, AMD, and Toronto Tool Library.","","","Free, just show up!","More info here.","https://nextgenshow.carrd.co/","Showcase","Social","192 Spadina Ave.","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Budokai Bashment","2026-06-15","Monday June 15","The Harmony Cafe and Bar","75 Nassau St.","19:00:00","23:00:00","","","Bringing together gaming, music, and community for a night of tournaments, live DJ sets, and socializing. Enter the brackets for Street Fighter III: 3rd Strike and SF6, or come through to spectate, enjoy the music, and hang out. After the tournaments, stick around to dance, party to dancehall and afrobeats sets, and check out the free play arcade.","","","Free entry, $10 tourney fee.","Info and Tickets here.","https://www.start.gg/tournament/budokai-bashment-vol-2/details","","","75 Nassau St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 15:27:29","The Beautiful Game: A Playable History of Soccer Video Games","2026-06-16","Tuesday June 16","Royal Ontario Museum","100 Queen's Park","11:00:00","20:00:00","Thursday, June 11: 11am-4pm
Friday, June 12: 11am-4pm
Saturday, June 13: 11am-4pm
Sunday, June 14: 11am-4pm
MONDAY – ROM CLOSED
Tuesday, June 16: 11am-8pm (free general admission starting at 4pm)
Wednesday, June 17: 11am-4pm

","Community","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen, from early home console experiments to influential titles that helped define modern sports gaming. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.

Beginning with early interpretations on platforms such as the Atari 2600, where soccer was represented through simple graphics and fast reflexes, the exhibition follows the sport’s digital evolution through home consoles like the Nintendo Entertainment System and into the rise of landmark franchises such as FIFA International Soccer. Displayed side by side, these games reveal how advances in technology reshaped ideas of realism, competition, and spectacle across generations.

This exhibit is a collaboration between the Royal Ontario Museum, the University of Toronto Mississauga Library with its extensive Syd Bolton Collection of video games, and the Broken Games Collective, a community of practice that champions restoring access to games that are broken, obsolete, or inaccessible. Together, they bring historical hardware, software, and curatorial expertise into a shared space that recognizes retro video games as cultural artifacts, preserving how generations of players have engaged with soccer beyond the stadium and onto the screen.
","Global soccer comes to Toronto. Play the video games that brought the beautiful game home. ","Free, from 5.30 to 8.30 PM.","Tickets required.","https://www.rom.on.ca/whats-on/events/third-tuesday-nights-free-third-tuesday-night-free-5","Showcase","","100 Queen's Park","","","","","","","","","","","","","","","","","","","","","","","",""
